DATA;HORA;CONSUM (Wh)
2016-08-29;20;3110
2016-08-29;21;2638
2016-08-29;22;1084
2016-08-29;23;610
;;
2016-08-30;0;521
2016-08-30;1;507
2016-08-30;2;417
2016-08-30;3;479
2016-08-30;4;477
2016-08-30;5;516
2016-08-30;6;468
2016-08-30;7;1178
2016-08-30;8;613
2016-08-30;9;493
2016-08-30;10;461
2016-08-30;11;463
2016-08-30;12;522
2016-08-30;13;1027
2016-08-30;14;2551
2016-08-30;15;1805
2016-08-30;16;559
2016-08-30;17;418
2016-08-30;18;458
2016-08-30;19;724
2016-08-30;20;1780
2016-08-30;21;2201
2016-08-30;22;1208
2016-08-30;23;1147
;;
2016-08-31;0;510
2016-08-31;1;498
2016-08-31;2;493
2016-08-31;3;493
2016-08-31;4;476
2016-08-31;5;464
2016-08-31;6;451
2016-08-31;7;1321
2016-08-31;8;833
2016-08-31;9;609
2016-08-31;10;423
2016-08-31;11;480
2016-08-31;12;433
2016-08-31;13;1024
2016-08-31;14;1295
2016-08-31;15;389
2016-08-31;16;453
2016-08-31;17;392
2016-08-31;18;433
2016-08-31;19;495
2016-08-31;20;1029
2016-08-31;21;1327
2016-08-31;22;788
2016-08-31;23;443
;;
2016-09-01;0;445
2016-09-01;1;458
2016-09-01;2;402
2016-09-01;3;433
2016-09-01;4;367
2016-09-01;5;424
2016-09-01;6;424
2016-09-01;7;1053
2016-09-01;8;956
2016-09-01;9;494
2016-09-01;10;431
2016-09-01;11;412
2016-09-01;12;526
2016-09-01;13;882
2016-09-01;14;421
2016-09-01;15;575
2016-09-01;16;535
2016-09-01;17;461
2016-09-01;18;394
2016-09-01;19;505
2016-09-01;20;2205
2016-09-01;21;1644
2016-09-01;22;2127
2016-09-01;23;865
;;
2016-09-02;0;843
2016-09-02;1;668
2016-09-02;2;398
2016-09-02;3;419
2016-09-02;4;427
2016-09-02;5;423
2016-09-02;6;416
2016-09-02;7;735
2016-09-02;8;1642
2016-09-02;9;1113
2016-09-02;10;724
2016-09-02;11;520
2016-09-02;12;1193
2016-09-02;13;1927
2016-09-02;14;780
2016-09-02;15;469
2016-09-02;16;497
2016-09-02;17;784
2016-09-02;18;1028
2016-09-02;19;538
2016-09-02;20;698
2016-09-02;21;502
2016-09-02;22;509
2016-09-02;23;456
;;
2016-09-03;0;469
2016-09-03;1;451
2016-09-03;2;449
2016-09-03;3;459
2016-09-03;4;471
2016-09-03;5;465
2016-09-03;6;517
2016-09-03;7;511
2016-09-03;8;556
2016-09-03;9;736
2016-09-03;10;540
2016-09-03;11;854
2016-09-03;12;770
2016-09-03;13;599
2016-09-03;14;376
2016-09-03;15;429
2016-09-03;16;461
2016-09-03;17;428
2016-09-03;18;451
2016-09-03;19;453
2016-09-03;20;1637
2016-09-03;21;1807
2016-09-03;22;1508
2016-09-03;23;687
;;
2016-09-04;0;427
2016-09-04;1;429
2016-09-04;2;394
2016-09-04;3;451
2016-09-04;4;399
2016-09-04;5;456
2016-09-04;6;387
2016-09-04;7;548
2016-09-04;8;990
